S.No,Name,CMP Rs,PE,Mar Cap Rs Cr,Div Yld %,NP Qtr Rs Cr,Qtr Profit Var %,Sales Qtr Rs Cr,Qtr Sales Var %,ROCE %
255,NLC India,237.10,12.58,32877.09,1.25,724.80,-27.06,4178.41,14.25,10.51
256,KPIT Technologi.,1198.35,42.46,32852.02,0.70,169.09,-17.01,1587.71,7.90,40.88
257,Central Bank,36.24,7.24,32802.23,1.09,1234.06,33.34,8776.54,6.57,5.48
258,Aster DM Health.,630.80,89.08,32683.12,0.78,121.31,13.83,1197.21,10.20,10.68
259,Metro Brands,1189.55,91.13,32402.67,0.49,68.98,-2.67,651.14,11.22,19.42
260,AWL Agri Busine.,247.05,29.68,32108.52,0.00,244.85,-21.32,17604.57,21.74,20.89
261,Go Digit General,344.35,62.59,31808.34,0.00,135.60,51.56,2488.04,11.35,10.80
262,CRISIL,4345.60,42.47,31779.37,0.57,193.10,12.56,911.24,12.24,35.60
263,Exide Inds.,371.00,39.96,31535.00,0.54,173.64,-25.66,4364.51,-1.92,8.65
264,Global Health,1161.85,52.24,31229.43,0.04,158.40,21.09,1099.22,14.91,19.74
265,C D S L,1481.40,65.46,30961.26,0.82,139.94,-13.46,318.89,-1.05,41.96
266,Navin Fluo.Intl.,5947.65,68.57,30473.73,0.21,148.37,152.24,758.42,46.26,11.68
267,Tata Elxsi,4864.45,45.18,30303.14,1.51,154.82,-32.52,918.10,-3.87,36.26
268,Delhivery,403.95,218.67,30219.40,0.00,-50.50,-593.92,2559.32,16.88,2.47
269,Honeywell Auto,34066.00,58.35,30114.34,0.31,119.50,3.82,1149.40,12.26,18.40
270,TVS Holdings,14749.50,20.73,29841.37,0.63,880.08,59.15,14549.15,25.92,15.21
271,Mindspace Busine,487.69,57.18,29709.28,3.27,126.79,10.54,772.01,18.98,6.53
272,Motherson Wiring,44.50,48.11,29510.93,1.27,165.34,8.72,2761.86,18.76,42.53
273,Sona BLW Precis.,472.00,46.86,29345.29,0.67,170.46,14.34,1138.29,23.43,17.82
274,LIC Housing Fin.,532.00,5.31,29263.33,1.86,1349.37,1.62,7179.25,3.48,8.93
275,SJVN,74.00,52.17,29080.49,1.97,307.80,-30.20,1032.40,0.60,4.91
276,ITI,301.40,,29029.60,0.00,-54.24,24.09,543.40,-46.53,-1.33
277,National High,149.00,68.71,28859.07,4.84,112.09,58.27,1001.55,76.71,3.38
278,NBCC,106.80,43.18,28836.00,0.62,156.69,25.71,2910.20,18.99,33.17
279,J B Chemicals &,1809.35,39.49,28343.65,0.85,207.82,19.05,1084.90,8.42,25.79
280,Gland Pharma,1706.00,35.58,28107.42,1.06,183.68,12.32,1486.88,5.77,11.89
281,PTC Industries,18626.60,444.42,27926.02,0.00,18.14,4.79,124.63,72.21,7.74
282,Pine Labs,242.90,,27891.57,0.00,5.97,118.65,649.90,17.83,-0.49
283,Star Health Insu,468.90,51.75,27590.03,0.00,54.90,-50.67,4377.78,7.87,11.98
284,Garden Reach Sh.,2392.70,44.59,27408.81,0.58,153.79,57.30,1677.38,45.49,36.64
285,ZF Commercial,14379.00,57.16,27262.57,0.13,106.47,-2.62,901.80,-0.54,20.15
286,Gujarat Gas,395.10,24.36,27198.26,1.47,279.81,-9.37,3780.40,-0.04,19.50
287,Inventurus Knowl,1575.95,44.39,27053.25,0.00,180.72,59.93,781.09,21.52,27.20
288,Aegis Vopak Term,244.00,149.52,27035.00,0.00,53.94,141.77,187.63,26.22,7.01
